Timestamp,User Count,Type,Name,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1633690030,10,GET,login,0.000000,0.000000,340,350,360,360,370,370,370,370,370,370,370,6,0,350.0,352.9765666666667,341.75230000000045,369.6183000000004,13.0
1633690030,10,,Aggregated,14.000000,0.000000,62,140,230,240,340,1400,1500,1500,1600,1600,1600,151,0,140.0,227.2971774834437,18.515999999999977,1592.6657,2868.9602649006624
1633690031,10,POST,add_item_to_cart,0.000000,0.000000,190,190,340,340,340,340,340,340,340,340,340,3,0,190.0,238.78863333333348,189.5648000000003,336.5229000000003,0.0
1633690031,10,GET,get_address,0.000000,0.000000,100,100,100,100,100,100,100,100,100,100,100,1,0,103.0951,103.0951,103.0951,103.0951,283.0
1633690031,10,GET,get_basket,0.000000,0.000000,39,43,50,50,50,50,50,50,50,50,50,3,0,43,44.17699999999976,39.29059999999929,50.17359999999993,23020.0
1633690031,10,GET,get_card,0.000000,0.000000,60,88,160,160,160,160,160,160,160,160,160,3,0,88,102.56396666666667,60.47099999999972,159.27480000000037,17.0
1633690031,10,GET,get_cart,6.666667,0.000000,140,200,240,1400,1500,1500,1600,1600,1600,1600,1600,44,0,200.0,454.1241068181818,47.77710000000024,1592.6657,17.136363636363637
1633690031,10,GET,get_catalogue1,7.666667,0.000000,110,180,270,270,280,280,350,350,350,350,350,27,0,180.0,179.96385185185184,21.119200000000227,349.2855000000001,1643.0
1633690031,10,GET,get_catalogue2,1.333333,0.000000,110,190,230,230,230,230,230,230,230,230,230,7,0,190.0,172.43128571428582,107.52779999999973,232.6195000000002,22.0
1633690031,10,GET,get_catalogue3,1.333333,0.000000,89,96,130,130,130,130,130,130,130,130,130,7,0,96,102.12962857142863,70.61150000000005,132.34149999999988,1927.0
1633690031,10,GET,get_category,1.333333,0.000000,26,45,55,55,56,56,56,56,56,56,56,7,0,45,40.25038571428574,24.644299999999397,56.292900000000756,11518.0
1633690031,10,GET,get_customer,0.000000,0.000000,67,88,140,140,230,230,230,230,230,230,230,17,0,88,109.69412941176472,18.515999999999977,226.49929999999952,243.41176470588235
1633690031,10,GET,get_customer_orders,1.000000,0.000000,49,53,61,61,61,61,61,61,61,61,61,3,0,53,54.134499999999974,48.55810000000016,61.11099999999947,6368.0
1633690031,10,GET,get_detail,0.000000,0.000000,19,76,89,89,90,90,90,90,90,90,90,10,0,20,49.405939999999944,6.869100000000294,89.52980000000022,10364.0
1633690031,10,GET,get_index,7.666667,0.000000,49,52,59,59,88,100,110,110,110,110,110,28,0,52,55.82959285714285,26.414500000000007,108.6453999999999,8688.0
1633690031,10,GET,get_item,0.000000,0.000000,100,140,150,150,210,210,210,210,210,210,210,10,0,110.0,121.80291999999983,46.317099999999556,212.9588999999994,286.0
1633690031,10,GET,get_related,0.000000,0.000000,53,100,240,250,330,330,330,330,330,330,330,10,0,99,142.27725000000007,12.574299999999816,327.04060000000015,760.0
1633690031,10,GET,get_tags,1.333333,0.000000,140,160,170,170,170,170,170,170,170,170,170,7,0,160.0,158.0912142857144,139.74520000000012,173.8748000000001,107.0
