Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,135,0,130.0,134.06808592592554,30.748400000007337,278.3812000000001,0.0,0.7534704674477324,0.0,100,130,170,180,190,190,200,250,280,280,280
GET,get_address,135,0,60,68.75213185185284,9.68199999999797,192.94320000000198,283.0,0.7534704674477324,0.0,40,60,91,97,130,150,190,190,190,190,190
GET,get_basket,135,0,37,37.93336740740723,6.277699999998276,99.40930000000003,23020.0,0.7534704674477324,0.0,15,37,50,55,79,83,95,96,99,99,99
GET,get_card,135,0,72,86.72568000000035,8.472399999995162,238.34599999999995,17.0,0.7534704674477324,0.0,49,72,130,140,140,160,170,180,240,240,240
GET,get_cart,3448,0,90,91.82490913573105,9.194800000003056,267.05000000000024,138.98955916473318,19.24419386488727,0.0,58,90,130,140,150,160,170,180,250,270,270
GET,get_catalogue1,1805,0,54,56.057028642659276,8.356399999996711,202.67199999999974,1643.0,10.074179212912274,0.0,17,54,91,94,100,110,130,170,200,200,200
GET,get_catalogue2,473,0,60,60.65126617336161,8.605499999999822,194.1691999999997,22.0,2.639937267427981,0.0,19,60,96,100,110,140,160,170,190,190,190
GET,get_catalogue3,473,0,51,55.99995496828768,8.695200000000014,199.7587999999979,1927.0,2.639937267427981,0.0,26,51,83,90,100,110,140,150,200,200,200
GET,get_category,473,0,33,34.008049682875615,5.653200000001135,116.90120000000093,11518.0,2.639937267427981,0.0,14,33,48,51,62,72,86,93,120,120,120
GET,get_customer,1642,0,63,74.27825194884254,8.350099999994143,310.55659999999995,261.4415347137637,9.16443338925316,0.0,42,63,100,120,140,150,160,170,290,310,310
GET,get_customer_orders,429,0,35,37.317270396269954,5.631699999995021,95.43670000000049,6368.0,2.3943617076672385,0.0,14,35,52,57,76,83,87,90,95,95,95
GET,get_detail,608,0,21,34.48947516447357,5.888900000002195,148.92020000000005,10364.0,3.3934077348757135,0.0,12,21,51,59,82,90,93,94,150,150,150
GET,get_index,1671,0,22,33.1559277678038,5.118699999997034,117.83040000000256,8688.0,9.326290008186376,0.0,11,22,50,59,79,84,91,94,110,120,120
GET,get_item,1304,0,73,77.1460360429447,8.784999999996046,245.00499999999903,286.0,7.2779665892729115,0.0,42,73,100,120,140,150,170,180,240,250,250
GET,get_orders,564,0,65,68.91825726950312,10.27220000000284,229.79409999999945,2.0,3.1478321751149707,0.0,26,65,98,110,130,150,160,170,230,230,230
GET,get_related,607,0,86,85.17713245469537,9.529100000008839,246.1575999999983,760.0,3.387826472153878,0.0,55,86,120,130,140,150,160,170,250,250,250
GET,get_tags,473,0,72,84.89041987314964,7.940100000000783,253.12420000000026,107.0,2.639937267427981,0.0,45,72,130,140,150,160,170,190,250,250,250
GET,login,429,0,110.0,108.28504895104824,18.52930000000086,262.94749999999567,13.0,2.3943617076672385,0.0,61,110,150,150,170,210,230,260,260,260,260
,Aggregated,14939,0,62,68.63861143985531,5.118699999997034,310.55659999999995,2532.60867527947,83.37848380149389,0.0,25,62,97,110,140,150,170,180,250,290,310
